program	step2ck	level2ce	signal	no_signal	in_state	out_of_state	md	do	us_img	non_us_img	city	state	region
Abbott-Northwestern Hospital/Allina Health System Program	222-264	!	14%	5%	80%	6%	26%	5%	4%	4%	Minneapolis	MN	West North Central
AdventHealth Florida Program	235-264	452-661	18%	10%	43%	10%	32%	20%	7%	5%	Orlando	FL	South Atlantic
Albany Med Health System Program	232-264	447-667	42%	9%	63%	9%	27%	27%	3%	2%	Albany	NY	Middle Atlantic
Allegheny Health Network Medical Education Consortium (AGH) Program	231-270	494-646	22%	7%	39%	8%	16%	15%	4%	8%	Pittsburgh	PA	Middle Atlantic
Arrowhead Regional Medical Center Program	232-264	434-718	11%	12%	40%	6%	26%	11%	5%	0%	Colton	CA	Pacific
Barrow Neurological Institute at St Joseph's Hospital and Medical Center Program	233-270	!	53%	13%	40%	17%	40%	7%	0%	3%	Phoenix	AZ	Mountain
Baylor College of Medicine Program	--	--	--	--	--	--	--	--	--	--	Houston	TX	West South Central
Baylor Scott & White Medical Center - Baylor College of Medicine (Temple) Program	238-258	473-679	35%	12%	65%	9%	43%	20%	12%	2%	Temple	TX	West South Central
Baylor University Medical Center Program	237-270	!	16%	13%	29%	12%	19%	7%	5%	16%	Dallas	TX	West South Central
Beth Israel Deaconess Medical Center/Harvard Medical School Program	250-273	--	45%	11%	50%	18%	32%	0%	0%	1%	Boston	MA	New England
Boston University Medical Center Program	245-273	--	40%	14%	82%	16%	32%	0%	0%	0%	Boston	MA	New England
Broward Health Program	226-262	435-606	29%	7%	74%	7%	32%	15%	15%	0%	Deerfield Beach	FL	South Atlantic
Carilion Clinic-Virginia Tech Carilion School of Medicine Program	228-263	439-590	20%	6%	64%	7%	15%	15%	5%	5%	Roanoke	VA	South Atlantic
Carle Foundation Hospital Program	224-266	420-672	18%	8%	41%	8%	17%	12%	8%	6%	Urbana	IL	East North Central
Carolinas Medical Center Program	225-267	437-658	44%	5%	69%	7%	20%	9%	2%	4%	Charlotte	NC	South Atlantic
Case Western Reserve University/University Hospitals Cleveland Medical Center Program	236-272	492-836	46%	8%	74%	10%	30%	9%	0%	4%	Cleveland	OH	East North Central
