external_id	program_id	program
157621d4-5f31-9d45-8120-9a35324e7747	2357	Abbott-Northwestern Hospital/Allina Health System Program
a28607eb-e06b-781e-08d9-31bc53d6ecb9	2305	AdventHealth Florida Program
90c55dfc-f1d9-ac3c-b9ca-51ac43e966a7	2383	Albany Med Health System Program
3914ae5d-8e61-4831-3a66-6a40433b1d75	2425	Allegheny Health Network Medical Education Consortium (AGH) Program
41297c72-fa54-7094-bb3d-d130c0e8b6b2	2274	Arrowhead Regional Medical Center Program
968dc942-9b12-7bc6-755d-e3c500fe8386	2269	Barrow Neurological Institute at St Joseph's Hospital and Medical Center Program
ef8f18e4-f894-93c6-917f-775cdddbdb2a	2450	Baylor College of Medicine Program
5a9de463-1fc1-557b-2c36-21f62bb6e1c7	2442	Baylor Scott & White Medical Center - Baylor College of Medicine (Temple) Program
c28262e3-f224-7279-43a2-d98115146e87	2441	Baylor University Medical Center Program
3a1ba9ab-e99c-9167-9d7b-b5e5176e5ced	2343	Beth Israel Deaconess Medical Center/Harvard Medical School Program
6a6b8856-cafd-49cf-242e-5730ccca7148	2346	Boston University Medical Center Program
33c07a1f-fabd-fc2e-d47e-0682faa39942	2303	Broward Health Program
6e0f3482-8150-78db-a73e-a1b5eb66c90e	2458	Carilion Clinic-Virginia Tech Carilion School of Medicine Program
b1c91d35-8567-0907-470f-3515179f4809	2322	Carle Foundation Hospital Program
cefbb22a-930f-56e7-65de-4b79161d264f	2397	Carolinas Medical Center Program
e7fd2a41-04e9-e641-a36a-4ebdb9a7f06e	2408	Case Western Reserve University/University Hospitals Cleveland Medical Center Program
41aaf00a-d74c-12bb-ba5d-90cfdb1b8729	2291	Cedars-Sinai Medical Center Program
45ec5b20-aaec-64a8-03ee-098b6e64b9c7	2464	Charleston Area Medical Center Program
d1e6d752-eb83-03ea-958e-ed856898a5f5	2406	Cleveland Clinic Foundation Program
d83a2e54-df1a-a451-dba2-49e9ec12746d	2317	Cleveland Clinic Foundation/Florida Weston Program
f75023d5-f631-2e0c-c0b4-d6eaed7f79de	2372	Cooper Medical School of Rowan University/Cooper University Hospital Program
2568fa0b-bbfc-c468-1d1f-81dda3d40b08	2350	Corewell Health – Grand Rapids/Michigan State University Program
53bef449-1718-6f72-86fa-973f3e421b95	2351	Corewell Health/William Beaumont University (Farmington Hills/Royal Oak) Program
4585a64c-90ce-79dc-547c-f3fa3e62f0b5	2365	Creighton University School of Medicine (Omaha) Program
b8e895a3-5034-e963-3b54-52b670b54be6	2369	Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program
8a8d70f6-ed5a-6a83-acf4-280e03d622d0	2356	Detroit Medical Center/Wayne State University Program
dba02ca8-09db-83f1-9a15-2cce72b1b7fa	2440	Doctors Hospital at Renaissance, Ltd. Program
b6fc004b-3176-7de9-3b3c-2f99f17eeb02	2399	Duke University Hospital Program
6fda0e86-7f72-9a8a-c2f1-98431955a004	2396	ECU Health Medical Center Program
228e2149-3b63-d38a-ebb1-99973b1e3275	2319	Emory University School of Medicine Program
62a53d9c-e3a9-3e5b-f500-dad324ab4ee7	2308	Florida Atlantic University Charles E. Schmidt College of Medicine Program
8cd804ff-2d88-6a9c-4c51-c6f5a22d3c10	2301	Florida International University / Baptist Health Program
1ab85998-6617-6b02-1906-0a5d91ab5fb8	2352	Garden City Hospital Program
c8200750-4f73-0c7b-a659-5fe70f93dc3b	2379	Garnet Health Medical Center Program
a5389c64-ad82-11e3-ddfc-a6c846df0760	2415	Geisinger Health System (Danville) Program
673f6ead-71b2-8244-ae33-f0862b3df52d	2419	Geisinger Health System Program (Wilkes-Barre)
fcd64dee-67f6-1e20-ed42-979c04555773	2297	George Washington University Program
b76c60ac-cfad-0fc3-7816-9ea4661fb122	2371	Hackensack Meridian Health/Hackensack University Medical Center Program
fa637308-8de8-70ed-028a-78a982a43805	2374	Hackensack Meridian Health/JFK University Medical Center Program
7e0dabff-3f72-787d-17f8-d0b8cee39bd5	2304	HCA Florida Healthcare/Kendall Hospital Program
a39fa3b9-0a9e-bdf7-38d5-b396ae668361	2300	HCA Florida Healthcare/Westside/Northwest Hospital Program
25035ea2-d822-d010-1c0a-dc7d1fbba4e4	2280	HCA Healthcare Riverside Program
bf2ec2b1-0b6c-e43d-2ef3-0da6775d486e	2368	HCA Healthcare Sunrise Health GME/Southern Hills Program
a762d5dd-d723-6d48-f7ac-dbe048196688	2275	HCA Healthcare/Los Robles Regional Medical Center Program
0268c056-853e-a6ba-0b55-31562c77d01d	2433	HCA Healthcare/TriStar Nashville/Skyline Medical Center Program
2a2e19ce-71fb-ea7c-d5f5-c2a2022db648	2292	HCA HealthONE/Swedish Medical Center Program
e8f95f95-669c-1aaf-c6a4-4e3d58050526	2353	Henry Ford Health/Henry Ford Hospital Program
241daaca-d00c-dbf6-8065-61b73219f036	2349	Henry Ford Warren Hospital Program
18436ef0-87d8-4c50-7ee6-583d87160f85	2447	Houston Methodist Hospital (Medical Center) Program
2804aac1-c7fd-7aaa-b43e-9f4215de5891	2298	Howard University Program
